Component,Node,Max_gCO2eq,Min_gCO2eq
comp20,node90,838.1604729422702,1.0899355955035617
comp20,node80,753.1454964929892,6.539613573021597
comp20,node70,728.0769777964064,3.2698067865107987
comp20,node62,855.5994424703279,10.899355955036071
comp20,node82,776.0341439985649,22.888647505575705
comp20,node10,800.0127270996442,23.978583101079266
comp20,node29,844.7000865152918,1.0899355955035617
comp20,node99,837.0705373467666,4.359742382014474
comp20,node84,810.9120830546801,10.899355955035958
comp20,node36,832.7107949647522,21.79871191007203
comp20,node44,741.1562049424496,13.079227146043195
comp20,node60,746.6058829199676,5.449677977518036
comp20,node21,843.6101509197882,5.449677977518036
comp98,node90,831.164141782485,1.0808376356079634
comp98,node80,746.8588062050678,6.485025813647553
comp98,node62,848.4575439522116,10.80837635607918
comp98,node82,769.5563965528339,22.697590347766095
comp98,node10,793.334824536208,23.77842798337406
comp98,node29,837.6491675961324,1.0808376356078497
comp98,node99,830.083304146877,4.323350542431626
comp98,node84,804.1432008922872,10.80837635607918
comp98,node36,825.7599536044454,21.616752712158245
comp98,node44,734.9695922133808,12.970051627294993
comp98,node60,740.3737803914203,5.404188178039476
comp98,node21,836.5683299605246,5.40418817803959
comp33,node90,827.4327651639328,1.0759853903302883
comp33,node80,743.5059047181762,6.455912341981275
comp33,node62,844.6485314092162,10.759853903302087
comp33,node82,766.1015979151107,22.595693196934462
comp33,node10,789.7732765023753,23.671678587264637
comp33,node29,833.8886775059141,1.0759853903302883
comp33,node99,826.3567797736025,4.303941561320812
comp33,node84,800.5331304056775,10.7598539033022
comp33,node36,822.0528382122817,21.519707806604174
comp33,node44,731.670065424544,12.91182468396255
comp33,node60,737.049992376195,5.379926951650987
comp33,node21,832.8126921155838,5.379926951650987
comp52,node90,824.1678106226998,1.0717396757122515
comp52,node80,740.5721159171462,6.4304380542732815
comp52,node62,841.3156454340954,10.717396757122287
comp52,node82,763.078649107103,22.506533189956713
comp52,node10,786.6569219727719,23.57827286566885
comp52,node29,830.5982486769731,1.0717396757122515
comp52,node99,823.0960709469875,4.286958702848892
comp52,node84,797.3743187298942,10.717396757122287
comp52,node36,818.8091122441385,21.43479351424446
comp52,node44,728.7829794843119,12.860876108546677
comp52,node60,734.1416778628729,5.358698378561144
comp52,node21,829.5265090012608,5.35869837856103
comp16,node90,823.7013885453807,1.0711331450526131
