Component,Node,Max_gCO2eq,Min_gCO2eq
comp20,node88,708.4581370773416,1.0899355955036754
comp20,node81,495.9206959541391,8.719484764028834
comp20,node10,800.0127270996442,23.978583101079266
comp20,node5,525.3489570327364,13.079227146043308
comp20,node61,597.2847063359741,2.179871191007237
comp20,node6,724.8071710098956,0.0
comp20,node27,681.2097471897515,2.179871191007237
comp20,node21,843.6101509197882,5.449677977518036
comp20,node60,746.6058829199676,5.449677977518036
comp20,node29,844.7000865152918,1.0899355955035617
comp20,node82,776.0341439985649,22.888647505575705
comp20,node96,595.1048351449668,22.88864750557559
comp20,node67,622.3532250325569,17.438969528057555
comp20,node92,512.2697298866931,16.349033932553994
comp20,node94,724.8071710098956,10.899355955036071
comp20,node65,572.2161876393913,2.179871191007237
comp20,node70,728.0769777964064,3.2698067865107987
comp20,node90,838.1604729422702,1.0899355955035617
comp20,node7,679.0298759987443,7.629549168525273
comp20,node3,713.9078150548595,5.449677977517922
comp20,node84,810.9120830546801,10.899355955035958
comp20,node55,657.2311640886722,10.899355955036071
comp20,node13,487.20121119011026,35.9678746516189
comp20,node44,741.1562049424496,13.079227146043195
comp20,node75,604.9142555044994,1.0899355955036754
comp20,node72,697.5587811223055,16.349033932553994
comp20,node77,550.4174757293192,3.2698067865107987
comp20,node59,547.1476689428084,21.79871191007203
comp20,node73,660.500970875183,3.2698067865107987
comp20,node95,603.8243199089957,5.449677977518036
comp20,node2,639.7921945606146,10.899355955036071
comp20,node36,832.7107949647522,21.79871191007203
comp20,node20,603.8243199089957,0.0
comp20,node62,855.5994424703279,10.899355955036071
comp20,node99,837.0705373467666,4.359742382014474
comp20,node23,561.3168316843552,10.899355955035958
comp20,node40,570.036316448384,8.719484764028834
comp20,node1,707.3682014818379,9.809420359532396
comp20,node26,671.400326830219,10.899355955035958
comp20,node80,753.1454964929892,6.539613573021597
comp20,node39,628.8928386055785,6.539613573021597
comp20,node34,598.3746419314776,1.0899355955035617
comp20,node25,646.3318081336362,6.539613573021597
comp98,node88,702.5444631451434,1.0808376356079634
comp98,node81,491.78112420160033,8.646701084863366
comp98,node10,793.334824536208,23.77842798337406
comp98,node5,520.963740363014,12.970051627294993
comp98,node61,592.2990243131362,2.161675271215813
comp98,node6,718.757027679262,0.0
comp98,node27,675.5235222549455,2.161675271215813
comp98,node21,836.5683299605246,5.40418817803959
comp98,node60,740.3737803914203,5.404188178039476
comp98,node29,837.6491675961324,1.0808376356078497
comp98,node82,769.5563965528339,22.697590347766095
comp98,node96,590.1373490419204,22.697590347766095
comp98,node67,617.1582899321182,17.29340216972662
comp98,node92,507.993688735719,16.212564534118656
comp98,node94,718.757027679262,10.808376356079066
comp98,node65,567.4397586941543,2.161675271215927
comp98,node70,721.9995405860858,3.2425129068237766
comp98,node90,831.164141782485,1.0808376356079634
comp98,node7,673.3618469837297,7.565863449255403
comp98,node3,707.948651323183,5.40418817803959
comp98,node84,804.1432008922872,10.80837635607918
