timestamp,event_id,n_event,callback_id,application_id,service_id,value
2025-03-26 09:53:19.470787,enact,1,service_energy,Application,load_balancer,124.5
2025-03-26 09:53:19.470797,enact,1,service_energy,Application,frontend,99.0
2025-03-26 09:53:19.470801,enact,1,service_energy,Application,api,142.16666666666666
2025-03-26 09:53:19.470803,enact,1,service_energy,Application,identity_provider,147.33333333333334
2025-03-26 09:53:19.470805,enact,1,service_energy,Application,database,226.83333333333334
2025-03-26 09:53:19.470806,enact,1,service_energy,Application,redis,14.666666666666666
2025-03-26 09:53:19.470808,enact,1,service_energy,Application,etcd,7.5
2025-03-26 09:53:19.470878,enact,1,service_emissions,Application,load_balancer,50049.0
2025-03-26 09:53:19.470882,enact,1,service_emissions,Application,frontend,39798.0
2025-03-26 09:53:19.470884,enact,1,service_emissions,Application,api,49189.666666666664
2025-03-26 09:53:19.470886,enact,1,service_emissions,Application,identity_provider,91346.66666666667
2025-03-26 09:53:19.470888,enact,1,service_emissions,Application,database,65781.66666666667
2025-03-26 09:53:19.470890,enact,1,service_emissions,Application,redis,9093.333333333332
2025-03-26 09:53:19.470892,enact,1,service_emissions,Application,etcd,555.0
2025-03-26 09:53:19.471206,enact,1,required_cpu,Application,load_balancer,2
2025-03-26 09:53:19.471210,enact,1,required_cpu,Application,frontend,2
2025-03-26 09:53:19.471212,enact,1,required_cpu,Application,api,2
2025-03-26 09:53:19.471214,enact,1,required_cpu,Application,identity_provider,1
2025-03-26 09:53:19.471215,enact,1,required_cpu,Application,database,2
2025-03-26 09:53:19.471216,enact,1,required_cpu,Application,redis,1
2025-03-26 09:53:19.471218,enact,1,required_cpu,Application,etcd,1
2025-03-26 09:53:19.471275,enact,1,required_ram,Application,load_balancer,4
2025-03-26 09:53:19.471279,enact,1,required_ram,Application,frontend,4
2025-03-26 09:53:19.471281,enact,1,required_ram,Application,api,6
2025-03-26 09:53:19.471282,enact,1,required_ram,Application,identity_provider,4
2025-03-26 09:53:19.471283,enact,1,required_ram,Application,database,4
2025-03-26 09:53:19.471285,enact,1,required_ram,Application,redis,4
2025-03-26 09:53:19.471286,enact,1,required_ram,Application,etcd,4
2025-03-26 09:53:19.471320,enact,1,required_storage,Application,load_balancer,10
2025-03-26 09:53:19.471322,enact,1,required_storage,Application,frontend,20
2025-03-26 09:53:19.471324,enact,1,required_storage,Application,api,15
2025-03-26 09:53:19.471325,enact,1,required_storage,Application,identity_provider,10
2025-03-26 09:53:19.471326,enact,1,required_storage,Application,database,512
2025-03-26 09:53:19.471328,enact,1,required_storage,Application,redis,10
2025-03-26 09:53:19.471330,enact,1,required_storage,Application,etcd,10
2025-03-26 09:53:19.471404,enact,1,required_gpu,Application,load_balancer,0
2025-03-26 09:53:19.471408,enact,1,required_gpu,Application,frontend,0
2025-03-26 09:53:19.471411,enact,1,required_gpu,Application,api,0
2025-03-26 09:53:19.471413,enact,1,required_gpu,Application,identity_provider,0
2025-03-26 09:53:19.471414,enact,1,required_gpu,Application,database,0
2025-03-26 09:53:19.471416,enact,1,required_gpu,Application,redis,0
2025-03-26 09:53:19.471417,enact,1,required_gpu,Application,etcd,0
2025-03-26 09:53:19.471968,enact,1,placement,Application,load_balancer,public1
2025-03-26 09:53:19.471972,enact,1,placement,Application,frontend,public1
2025-03-26 09:53:19.471974,enact,1,placement,Application,api,private1
2025-03-26 09:53:19.471976,enact,1,placement,Application,identity_provider,private3
2025-03-26 09:53:19.471977,enact,1,placement,Application,database,private5
2025-03-26 09:53:19.471979,enact,1,placement,Application,redis,private3
2025-03-26 09:53:19.471980,enact,1,placement,Application,etcd,private2
2025-03-26 09:53:19.484205,enact,2,service_energy,Application,load_balancer,124.5
2025-03-26 09:53:19.484213,enact,2,service_energy,Application,frontend,99.0
2025-03-26 09:53:19.484215,enact,2,service_energy,Application,api,142.16666666666666
2025-03-26 09:53:19.484217,enact,2,service_energy,Application,identity_provider,147.33333333333334
2025-03-26 09:53:19.484219,enact,2,service_energy,Application,database,226.83333333333334
2025-03-26 09:53:19.484221,enact,2,service_energy,Application,redis,14.666666666666666
2025-03-26 09:53:19.484222,enact,2,service_energy,Application,etcd,7.5
2025-03-26 09:53:19.484289,enact,2,service_emissions,Application,load_balancer,50049.0
2025-03-26 09:53:19.484293,enact,2,service_emissions,Application,frontend,39798.0
2025-03-26 09:53:19.484295,enact,2,service_emissions,Application,api,49189.666666666664
2025-03-26 09:53:19.484297,enact,2,service_emissions,Application,identity_provider,91346.66666666667
