timestamp,event_id,n_event,callback_id,node_id,value
2025-03-25 15:00:53.767375,enact,1,featured_carbon,public1,402
2025-03-25 15:00:53.767379,enact,1,featured_carbon,public2,255
2025-03-25 15:00:53.767382,enact,1,featured_carbon,private1,346
2025-03-25 15:00:53.767383,enact,1,featured_carbon,private2,74
2025-03-25 15:00:53.767385,enact,1,featured_carbon,private3,620
2025-03-25 15:00:53.767386,enact,1,featured_carbon,private4,155
2025-03-25 15:00:53.767388,enact,1,featured_carbon,private5,290
2025-03-25 15:00:53.767772,enact,1,featured_cpu,public1,8
2025-03-25 15:00:53.767776,enact,1,featured_cpu,public2,2
2025-03-25 15:00:53.767777,enact,1,featured_cpu,private1,3
2025-03-25 15:00:53.767779,enact,1,featured_cpu,private2,2
2025-03-25 15:00:53.767780,enact,1,featured_cpu,private3,2
2025-03-25 15:00:53.767781,enact,1,featured_cpu,private4,2
2025-03-25 15:00:53.767783,enact,1,featured_cpu,private5,4
2025-03-25 15:00:53.767834,enact,1,featured_ram,public1,16
2025-03-25 15:00:53.767838,enact,1,featured_ram,public2,4
2025-03-25 15:00:53.767840,enact,1,featured_ram,private1,16
2025-03-25 15:00:53.767842,enact,1,featured_ram,private2,4
2025-03-25 15:00:53.767843,enact,1,featured_ram,private3,8
2025-03-25 15:00:53.767845,enact,1,featured_ram,private4,4
2025-03-25 15:00:53.767846,enact,1,featured_ram,private5,8
2025-03-25 15:00:53.767927,enact,1,featured_storage,public1,1024
2025-03-25 15:00:53.767932,enact,1,featured_storage,public2,250
2025-03-25 15:00:53.767935,enact,1,featured_storage,private1,512
2025-03-25 15:00:53.767937,enact,1,featured_storage,private2,50
2025-03-25 15:00:53.767939,enact,1,featured_storage,private3,250
2025-03-25 15:00:53.767940,enact,1,featured_storage,private4,50
2025-03-25 15:00:53.767942,enact,1,featured_storage,private5,600
2025-03-25 15:00:53.768027,enact,1,featured_gpu,public1,0
2025-03-25 15:00:53.768031,enact,1,featured_gpu,public2,0
2025-03-25 15:00:53.768033,enact,1,featured_gpu,private1,0
2025-03-25 15:00:53.768035,enact,1,featured_gpu,private2,0
2025-03-25 15:00:53.768036,enact,1,featured_gpu,private3,0
2025-03-25 15:00:53.768037,enact,1,featured_gpu,private4,0
2025-03-25 15:00:53.768039,enact,1,featured_gpu,private5,0
2025-03-25 15:00:53.781785,enact,2,featured_carbon,public1,402
2025-03-25 15:00:53.781789,enact,2,featured_carbon,public2,255
2025-03-25 15:00:53.781792,enact,2,featured_carbon,private1,346
2025-03-25 15:00:53.781794,enact,2,featured_carbon,private2,74
2025-03-25 15:00:53.781795,enact,2,featured_carbon,private3,620
2025-03-25 15:00:53.781797,enact,2,featured_carbon,private4,155
2025-03-25 15:00:53.781798,enact,2,featured_carbon,private5,290
2025-03-25 15:00:53.782047,enact,2,featured_cpu,public1,8
2025-03-25 15:00:53.782049,enact,2,featured_cpu,public2,2
2025-03-25 15:00:53.782051,enact,2,featured_cpu,private1,3
2025-03-25 15:00:53.782052,enact,2,featured_cpu,private2,2
